aa	e~e
rose-waters'	gulAba-jala{ba.}{@vib:kA}
rose-waters	gulAba-jala{@s}
rose-water's	gulAba-jala{@vib:kA}
rosewood	SISama
rose-wood	SISama
rosier	gulAbI~{wara}
rosiest	gulAbI~{wama}
rostered	kAma~karane~vAloz~kI~nAmAvalI~{@ed/@en}
rostering	kAma~karane~vAloz~kI~nAmAvalI~{@ing}
roster	kAma~karane~vAloz~kI~nAmAvalI{0}
roster	nAmAvalI/rostara
rosters'	kAma~karane~vAloz~kI~nAmAvalI{ba.}{@vib:kA}
rosters	kAma~karane~vAloz~kI~nAmAvalI~{@s}
roster's	kAma~karane~vAloz~kI~nAmAvalI{@vib:kA}
rostra	maFca^coMca{@s}
rostra's	maFca^coMca{ba.}{@vib:kA}
rostrum	maFca^coMca{0}
rostrums'	maFca^coMca{ba.}{@vib:kA}
rostrums	maFca^coMca{@s}
rostrum's	maFca^coMca{@vib:kA}
rosy	gulAbI[-]
rotarier	GUrNI~{wara}
rotaries'	GUrNI{ba.}{@vib:kA}
rotaries	GUrNI{@s}
rotariest	GUrNI~{wama}
rotary	GUrNI[-]
rotary's	GUrNI{@vib:kA}
rotated	GUmanA~{@ed/@en}
rotate	GUmanA[-]{0}
rotater	GUmanA~{wara}
rotates	GUmanA~{@s}
rotatest	GUmanA~{wama}
rotating	GUmanA~{@ing}
rotation	cakkara{0}
rotations'	cakkara{ba.}{@vib:kA}
rotations	cakkara{@s}
rotation's	cakkara{@vib:kA}
rote	ratanA{0}
rotes'	ratanA{ba.}{@vib:kA}
rotes	ratanA{@s}
rote's	ratanA{@vib:kA}
rotor	rotara
rot	sadana/sadanA{0}
rots'	sadana/sadanA{ba.}{@vib:kA}
rots	sadana/sadanA~{@s}
rot's	sadana/sadanA{@vib:kA}
rotted	sadana/sadanA~{@ed/@en}
rottener	sadA~huA^KarAba~{wara}
rottenest	sadA~huA^KarAba~{wama}
rotten	sadA~huA^KarAba[-]
rotter	nirxayI/nIca{0}
rotters'	nirxayI/nIca{ba.}{@vib:kA}
rotters	nirxayI/nIca{@s}
rotter's	nirxayI/nIca{@vib:kA}
rotting	sadana/sadanA~{@ing}
rotunda	gola-Gara{0}
rotundas'	gola-Gara{ba.}{@vib:kA}
rotundas	gola-Gara{@s}
rotunda's	gola-Gara{@vib:kA}
rotunder	gola~{wara}
rotundest	gola~{wama}
rotund	gola[-]
rouble	rUsa~xeSa~kI~muxrA{0}
roubles'	rUsa~xeSa~kI~muxrA{ba.}{@vib:kA}
roubles	rUsa~xeSa~kI~muxrA{@s}
rouble's	rUsa~xeSa~kI~muxrA{@vib:kA}
rouged	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA~{@ed/@en}
rouge	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA{0}
rouges'	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA{ba.}{@vib:kA}
rouges	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA~{@s}
rouge's	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA{@vib:kA}
roughed	KuraxarA^wUPAnI~{@ed/@en}
roughed	Ubada~KAbada^KuraxarA~{@ed/@en}
rougher	KuraxarA^wUPAnI~{wara}
rougher	Ubada~KAbada^KuraxarA~{wara}
roughest	KuraxarA^wUPAnI~{wama}
roughest	Ubada~KAbada^KuraxarA~{wama}
roughing	KuraxarA^wUPAnI~{@ing}
roughing	Ubada~KAbada^KuraxarA~{@ing}
rough	KuraxarA^wUPAnI{0}
roughly	lagaBaga^asAvaXAnI~se
roughnesses'	KuraxarApana{ba.}{@vib:kA}
roughnesses	KuraxarApana{@s}
roughness	KuraxarApana{0}
roughness's	KuraxarApana{@vib:kA}
roughs	KuraxarA^wUPAnI~{@s}
roughs	Ubada~KAbada^KuraxarA~{@s}
rough	Ubada~KAbada^KuraxarA{0}
rouging	lAlI{prakAra~kA~lAla~rafga~jo~cehare~yA~oToz~para~lagAwe~hEz}/lAlI~lagAnA~{@ing}
roulette	eka~prakAra~kA~Kela{0}
roulettes'	eka~prakAra~kA~Kela{ba.}{@vib:kA}
roulettes	eka~prakAra~kA~Kela{@s}
roulette's	eka~prakAra~kA~Kela{@vib:kA}
roul	rAula
roul	rAula
roundabouter	golamola/merI-go-rAunda~{wara}
roundaboutest	golamola/merI-go-rAunda~{wama}
roundabout	golamola/merI-go-rAunda[-]
roundabouts'	golamola/merI-go-rAunda{ba.}{@vib:kA}
roundabouts	golamola/merI-go-rAunda{@s}
roundabout's	golamola/merI-go-rAunda{@vib:kA}
rounded	golAkAra`~{@ed/@en}
rounded	gola/vqwwa^xOra~{@ed/@en}
roundel	golAkAra~Palaka/ciwra{0}
roundels'	golAkAra~Palaka/ciwra{ba.}{@vib:kA}
roundels	golAkAra~Palaka/ciwra{@s}
roundel's	golAkAra~Palaka/ciwra{@vib:kA}
rounder	gola/vqwwa^xOra~{wara}
roundest	golAkAra`~{wama}
roundest	gola/vqwwa^xOra~{wama}
round	golAkAra`{0}
round	gola/vqwwa^xOra{0}
rounding	golAkAra`~{@ing}
rounding	gola/vqwwa^xOra~{@ing}
roundly	cAroM~ora~se
rounds	golAkAra`~{@s}
rounds	gola/vqwwa^xOra~{@s}
roundsman	PerIvAlA{0}
roundsman's	PerIvAlA{@vib:kA}
roundsmen	PerIvAlA{@s}
roundsmen's	PerIvAlA{ba.}{@vib:kA}
round-table	gola~saBA
round-the-clock	aharniSa~kArya/cObIsa~GaNte
round-up	ekataXIkaraNa^sArAMSa
roundworm	keMcuA/golakqmi{0}
roundworms'	keMcuA/golakqmi{ba.}{@vib:kA}
roundworms	keMcuA/golakqmi{@s}
roundworm's	keMcuA/golakqmi{@vib:kA}
rourkela	rAurakelA
roused	jAganA^uwwejiwa~kara~{@ed/@en}
rouse	jAganA^uwwejiwa~kara{0}
rouses'	jAganA^uwwejiwa~kara{ba.}{@vib:kA}
rouses	jAganA^uwwejiwa~kara~{@s}
rouse's	jAganA^uwwejiwa~kara{@vib:kA}
rousinger	SAnaxAra~{wara}
rousingest	SAnaxAra~{wama}
rousing	jAganA^uwwejiwa~kara~{@ing}[-]
roustabout	majaxUra{0}
roustabouts'	majaxUra{ba.}{@vib:kA}
roustabouts	majaxUra{@s}
roustabout's	majaxUra{@vib:kA}
routed	mArga~{@ed/@en}
routed	pUrNa~parAjaya/harA~xenA~{@ed/@en}
route	mArga{0}
route	mArga{0}
router	rAUtara/~anurmAgaNa
routes'	mArga{ba.}{@vib:kA}
routes	mArga~{@s}
routes	mArga~{@s}
routes'	mArga{@s}{@vib:kA}
route's	mArga{@vib:kA}
route's	mArga{@vib:kA}
routinely	niyamiwa~rUpa~se
routine	niwyacaryA^cakra[-]
routine	niwya~kA~niyama[-]
routiner	niwya~kA~niyama~{wara}
routines	niwyacaryA^cakra{@s}
routines'	niwyacaryA^cakra{@s}{@vib:kA}
routine's	niwyacaryA^cakra{@vib:kA}
routines'	niwya~kA~niyama{ba.}{@vib:kA}
routines	niwya~kA~niyama{@s}
routine's	niwya~kA~niyama{@vib:kA}
routinest	niwyacaryA^cakra~{wama}
routinest	niwya~kA~niyama~{wama}
routing	mArga~{@ing}
routing	pUrNa~parAjaya/harA~xenA~{@ing}
rout	pUrNa~parAjaya/harA~xenA{0}
rout	rAuwa
rout	rAuwa
routray	rAuwarAya
routray	rAuwarAya
routs'	pUrNa~parAjaya/harA~xenA{ba.}{@vib:kA}
routs	pUrNa~parAjaya/harA~xenA~{@s}
rout's	pUrNa~parAjaya/harA~xenA{@vib:kA}
rove	kisI~Sahara~aWavA~jile~kA~praSAsanika~aXikArI~{@ed}
rover	GUmane~vAlA{0}
rovers'	GUmane~vAlA{ba.}{@vib:kA}
rovers	GUmane~vAlA{@s}
rover's	GUmane~vAlA{@vib:kA}
roves'	GUmanA{ba.}{@vib:kA}
roves	GUmanA{@s}
rove's	GUmanA{@vib:kA}
roving	GUmanA~{@ing}
rowdier	JagadAlU/JagadAlU~vyakwi~{wara}
rowdies'	JagadAlU/JagadAlU~vyakwi{ba.}{@vib:kA}
rowdies	JagadAlU/JagadAlU~vyakwi{@s}
rowdiest	JagadAlU/JagadAlU~vyakwi~{wama}
rowdy	JagadAlU/JagadAlU~vyakwi[-]
rowdy's	JagadAlU/JagadAlU~vyakwi{@vib:kA}
rowed	JagadA^pafkwi~{@ed/@en}
rowed	pafkwi/KenA{nAva}/JagadA~{@ed/@en}
rowing	JagadA^pafkwi~{@ing}
rowing	pafkwi/KenA{nAva}/JagadA~{@ing}
row	JagadA^pafkwi{0}
rowlock	cappU-kuNdA{0}
rowlocks'	cappU-kuNdA{ba.}{@vib:kA}
rowlocks	cappU-kuNdA{@s}
rowlock's	cappU-kuNdA{@vib:kA}
row	pafkwi/KenA{nAva}/JagadA{0}
rows'	JagadA^pafkwi{ba.}{@vib:kA}
rows	JagadA^pafkwi~{@s}
row's	JagadA^pafkwi{@vib:kA}
rows	pafkwi/KenA{nAva}/JagadA~{@s}
rows'	pafkwi/KenA{nAva}/JagadA{@s}{@vib:kA}
row's	pafkwi/KenA{nAva}/JagadA{@vib:kA}
royaler	SAhI/SAhI~KAnaxAna~kA~vyakwi~{wara}
royalest	rAja~sambanXI~{wama}
royalest	SAhI/SAhI~KAnaxAna~kA~vyakwi~{wama}
royalister	rAjaBakwa~{wara}
royalistest	rAjaBakwa~{wama}
royalist	rAjaBakwa[-]
royalists'	rAjaBakwa{ba.}{@vib:kA}
royalists	rAjaBakwa{@s}
royalist's	rAjaBakwa{@vib:kA}
royal	rAja~sambanXI[-]
royal	SAhI/SAhI~KAnaxAna~kA~vyakwi[-]
royals	rAja~sambanXI{@s}
royals'	rAja~sambanXI{@s}{@vib:kA}
royal's	rAja~sambanXI{@vib:kA}
royals'	SAhI/SAhI~KAnaxAna~kA~vyakwi{ba.}{@vib:kA}
royals	SAhI/SAhI~KAnaxAna~kA~vyakwi{@s}
royal's	SAhI/SAhI~KAnaxAna~kA~vyakwi{@vib:kA}
royalties'	granWakAra~kA~prApya~aMSa{ba.}{@vib:kA}
royalties	granWakAra~kA~prApya~aMSa{@s}
royalty	granWakAra~kA~prApya~aMSa{0}
royalty	rAjawva^svawva~Sulka
royalty's	granWakAra~kA~prApya~aMSa{@vib:kA}
roy	roYya
rs-232c	Ara~esa~232~sI
rtc	Ara~tI~sI~/~vAswavika~kAla~GadI
rubbed	ragada^GisanA^malanA~{@ed/@en}
rubbed	ragada/ragadanA^GisanA~{@ed/@en}
rubbered	rabada^rabara~{@ed/@en}
rubbered	rabara~{@ed/@en}
rubbering	rabada^rabara~{@ing}
rubbering	rabara~{@ing}
rubber	rabada^rabara{0}
rubber	rabara{0}
rubber-rollers	rabada~rolara
rubbers	rabada^rabara~{@s}
rubbers'	rabada^rabara{@s}{@vib:kA}
rubber's	rabada^rabara{@vib:kA}
rubbers'	rabara{ba.}{@vib:kA}
rubbers	rabara~{@s}
rubber's	rabara{@vib:kA}
rubbing	ragada^GisanA^malanA~{@ing}
rubbing	ragada/ragadanA^GisanA~{@ing}
rubbished	kUdA-karakata^anApa~SanApa~{@ed/@en}
rubbishes'	kUdA-karakata^anApa~SanApa{ba.}{@vib:kA}
rubbishes	kUdA-karakata^anApa~SanApa~{@s}
rubbishing	kUdA-karakata^anApa~SanApa~{@ing}
rubbish	kUdA-karakata^anApa~SanApa{0}
rubbish's	kUdA-karakata^anApa~SanApa{@vib:kA}
rubble	Cote~anagaDe~pawWara{0}
rubbles'	Cote~anagaDe~pawWara{ba.}{@vib:kA}
rubbles	Cote~anagaDe~pawWara{@s}
rubble's	Cote~anagaDe~pawWara{@vib:kA}
rubella	jarmana~KasarA{0}
rubellas'	jarmana~KasarA{ba.}{@vib:kA}
rubellas	jarmana~KasarA{@s}
rubella's	jarmana~KasarA{@vib:kA}
rubier	surKa/lAla~maNi~{wara}
rubies'	surKa/lAla~maNi{ba.}{@vib:kA}
rubies	surKa/lAla~maNi{@s}
rubiest	surKa/lAla~maNi~{wama}
ruble	rUsa~xeSa~kI~muxrA{0}
rubles'	rUsa~xeSa~kI~muxrA{ba.}{@vib:kA}
rubles	rUsa~xeSa~kI~muxrA{@s}
ruble's	rUsa~xeSa~kI~muxrA{@vib:kA}
rub	ragada^GisanA^malanA{0}
rub	ragada/ragadanA^GisanA{0}
rubs	ragada^GisanA^malanA~{@s}
rubs'	ragada^GisanA^malanA{@s}{@vib:kA}
rub's	ragada^GisanA^malanA{@vib:kA}
rubs'	ragada/ragadanA^GisanA{ba.}{@vib:kA}
rubs	ragada/ragadanA^GisanA~{@s}
rub's	ragada/ragadanA^GisanA{@vib:kA}
ruby's	surKa/lAla~maNi{@vib:kA}
ruby	surKa/lAla~maNi[-]
rucked	janasAXAraNa/Sikana/silavata~padanA~{@ed/@en}
rucking	janasAXAraNa/Sikana/silavata~padanA~{@ing}
ruck	janasAXAraNa/Sikana/silavata~padanA{0}
rucksack	kanXe~para~pahanane~vAlA~JolA{0}
rucksacks'	kanXe~para~pahanane~vAlA~JolA{ba.}{@vib:kA}
rucksacks	kanXe~para~pahanane~vAlA~JolA{@s}
rucksack's	kanXe~para~pahanane~vAlA~JolA{@vib:kA}
rucks'	janasAXAraNa/Sikana/silavata~padanA{ba.}{@vib:kA}
rucks	janasAXAraNa/Sikana/silavata~padanA~{@s}
ruck's	janasAXAraNa/Sikana/silavata~padanA{@vib:kA}
ruckuses'	hohallA{ba.}{@vib:kA}
ruckuses	hohallA{@s}
ruckus	hohallA{0}
ruckus's	hohallA{@vib:kA}
rudder	pawavAra{0}
rudders'	pawavAra{ba.}{@vib:kA}
rudders	pawavAra{@s}
rudder's	pawavAra{@vib:kA}
ruddier	surKa~{wara}
ruddiest	surKa~{wama}
ruddy	surKa[-]
rude	aBaxra-[-]
rude	aSiRta[-]
rudely	aSiRta~vyavahAra
rudeness	aSiRtawA{0}
rudenesses'	aSiRtawA{ba.}{@vib:kA}
rudenesses	aSiRtawA{@s}
rudeness's	aSiRtawA{@vib:kA}
ruder	aBaxra-~{wara}
ruder	aSiRta~{wara}
ruderies'	aSiRtawA{ba.}{@vib:kA}
ruderies	aSiRtawA{@s}
rudery	aSiRtawA{0}
rudery's	aSiRtawA{@vib:kA}
rudest	aBaxra-~{wama}
rudest	aSiRta~{wama}
rudimentaler	prAramBika~{wara}
rudimentalest	prAramBika~{wama}
rudimental	prAramBika[-]
rudimentarier	prAramBika~{wara}
rudimentariest	prAramBika~{wama}
rudimentary	prAramBika[-]
rudiment	prAramBika~jFAna
rue	brAhmI/vilApa~kara{0}
rued	brAhmI/vilApa~kara~{@ed/@en}
ruefuler	uxAsa~{wara}
ruefulest	uxAsa~{wama}
ruefully	aPasosa~ke~sAWa
rueful	uxAsa[-]
rues'	brAhmI/vilApa~kara{ba.}{@vib:kA}
rues	brAhmI/vilApa~kara~{@s}
rue's	brAhmI/vilApa~kara{@vib:kA}
ruffed	rafga~birafge~pafKa~{@ed/@en}
ruffian	baxamASa{0}
ruffians'	baxamASa{ba.}{@vib:kA}
ruffians	baxamASa{@s}
ruffian's	baxamASa{@vib:kA}
ruffing	rafga~birafge~pafKa~{@ing}
ruffled	JAlara/hadabadanA^KalabalI~macAnA~{@ed/@en}
ruffle	JAlara/hadabadanA^KalabalI~macAnA{0}
ruffles'	JAlara/hadabadanA^KalabalI~macAnA{ba.}{@vib:kA}
ruffles	JAlara/hadabadanA^KalabalI~macAnA~{@s}
ruffle's	JAlara/hadabadanA^KalabalI~macAnA{@vib:kA}
ruffling	JAlara/hadabadanA^KalabalI~macAnA~{@ing}
ruff	rafga~birafge~pafKa{0}
ruffs	rafga~birafge~pafKa~{@s}
ruggeder	UzcA-nIcA^Ubada~KAbada~{wara}
ruggedest	Ubada^KAbada^anagaDA~{wama}
ruggedest	UzcA-nIcA^Ubada~KAbada~{wama}
rugged	Ubada^KAbada^anagaDA[-]
rugged	UzcA-nIcA^Ubada~KAbada[-]
rug	kambala{0}
rugs'	kambala{ba.}{@vib:kA}
rugs	kambala{@s}
rug's	kambala{@vib:kA}
ruined	KaNdahara~{@ed/@en}
ruined	vinASa/naRta~kara~{@ed/@en}
ruing	brAhmI/vilApa~kara~{@ing}
ruining	KaNdahara~{@ing}
ruining	vinASa/naRta~kara~{@ing}
ruin	KaNdahara{0}
ruinouser	nASaka~{wara}
ruinousest	nASaka~{wama}
ruinous	nASaka[-]
ruins	KaNdahara~{@s}
ruins'	KaNdahara{@s}{@vib:kA}
ruin's	KaNdahara{@vib:kA}
ruins'	vinASa/naRta~kara{ba.}{@vib:kA}
ruins	vinASa/naRta~kara~{@s}
ruin's	vinASa/naRta~kara{@vib:kA}
ruin	vinASa/naRta~kara{0}
rulebook	niyamAvalI
ruled	niyama`~{@ed/@en}
ruled	niyama/nirNaya~kara~{@ed/@en}
rule	niyama`{0}
rule	niyama/nirNaya~kara{0}
ruler	SAsaka{0}
rulers'	SAsaka{ba.}{@vib:kA}
rulers	SAsaka{@s}
ruler's	SAsaka{@vib:kA}
rules'	niyama/nirNaya~kara{ba.}{@vib:kA}
rules	niyama/nirNaya~kara~{@s}
rule's	niyama/nirNaya~kara{@vib:kA}
rules	niyama`~{@s}
rules'	niyama`{@s}{@vib:kA}
rule's	niyama`{@vib:kA}
rulinger	prabala/nyAyAlaya~kA~nirNaya~{wara}
rulingest	prabala/nyAyAlaya~kA~nirNaya~{wama}
ruling	niyama`~{@ing}
ruling	niyama/nirNaya~kara~{@ing}[-]
rulings'	prabala/nyAyAlaya~kA~nirNaya{ba.}{@vib:kA}
rulings	prabala/nyAyAlaya~kA~nirNaya{@s}
ruling's	prabala/nyAyAlaya~kA~nirNaya{@vib:kA}
rumbled	GadaGadAhata/GadaGadAnA~{@ed/@en}
rumble	GadaGadAhata/GadaGadAnA{0}
rumbles'	GadaGadAhata/GadaGadAnA{ba.}{@vib:kA}
rumbles	GadaGadAhata/GadaGadAnA~{@s}
rumble's	GadaGadAhata/GadaGadAnA{@vib:kA}
rumbling	GadaGadAhata/GadaGadAnA~{@ing}
rum	guda~kI~SarAba[-]{0}
ruminated	manana~kara~{@ed/@en}
ruminate	manana~kara{0}
ruminates	manana~kara~{@s}
ruminating	manana~kara~{@ing}
rummaged	Koja/KUba~walASa~kara~{@ed/@en}
rummage	Koja/KUba~walASa~kara{0}
rummages'	Koja/KUba~walASa~kara{ba.}{@vib:kA}
rummages	Koja/KUba~walASa~kara~{@s}
rummage's	Koja/KUba~walASa~kara{@vib:kA}
rummaging	Koja/KUba~walASa~kara~{@ing}
rummer	guda~kI~SarAba~{wara}
rummest	guda~kI~SarAba~{wama}
rummier	wASa~kA~Kela~{wara}
rummiest	wASa~kA~Kela~{wama}
rummies'	wASa~kA~Kela{ba.}{@vib:kA}
rummies	wASa~kA~Kela{@s}
rummy's	wASa~kA~Kela{@vib:kA}
rummy	wASa~kA~Kela[-]
rumor	aPavAha/gapa~udAnA{0}
rumored	aPavAha/gapa~udAnA~{@ed/@en}
rumoring	aPavAha/gapa~udAnA~{@ing}
rumors'	aPavAha/gapa~udAnA{ba.}{@vib:kA}
rumors	aPavAha/gapa~udAnA~{@s}
rumor's	aPavAha/gapa~udAnA{@vib:kA}
rumour	aPavAha/gapa~udAnA{0}
rumoured	aPavAha/gapa~udAnA~{@ed/@en}
rumouring	aPavAha/gapa~udAnA~{@ing}
rumours'	aPavAha/gapa~udAnA{ba.}{@vib:kA}
rumours	aPavAha/gapa~udAnA~{@s}
rumour's	aPavAha/gapa~udAnA{@vib:kA}
rumpled	sikudana/sikudanA~{@ed/@en}
rumple	sikudana/sikudanA{0}
rumples'	sikudana/sikudanA{ba.}{@vib:kA}
rumples	sikudana/sikudanA~{@s}
rumple's	sikudana/sikudanA{@vib:kA}
rumpling	sikudana/sikudanA~{@ing}
rump	putTA{0}
rumps'	putTA{ba.}{@vib:kA}
rumps	putTA{@s}
rump's	putTA{@vib:kA}
rumpuses'	upaxrava{ba.}{@vib:kA}
rumpuses	upaxrava{@s}
rumpus's	upaxrava{@vib:kA}
rumpus	upaxrava{0}
rums'	wASa~kA~Kela{ba.}{@vib:kA}
rums	wASa~kA~Kela{@s}
rum's	wASa~kA~Kela{@vib:kA}
runabout	CotI~kAra
runa	runA
runaway	BagodA^aniyanwriwa[-]
runaways'	BagodA^aniyanwriwa{ba.}{@vib:kA}
runaways	BagodA^aniyanwriwa{@s}
runaway's	BagodA^aniyanwriwa{@vib:kA}
run-down	bigada/gira/xOda-lwg
rung	azgUTI^CallA{cABI/nepakina~kA}~{@ed/@en}
rung	CallA-[GerA]^bajAnA~{@ed/@en}
rungs'	sIDI~kA~daNdA{ba.}{@vib:kA}
rungs	sIDI~kA~daNdA{@s}
rung's	sIDI~kA~daNdA{@vib:kA}
runnel	nAlA{0}
runnels'	nAlA{ba.}{@vib:kA}
runnels	nAlA{@s}
runnel's	nAlA{@vib:kA}
runners'	xOdane~vAlA{ba.}{@vib:kA}
runners	xOdane~vAlA{@s}
runner's	xOdane~vAlA{@vib:kA}
runner	xOdane~vAlA{0}
runnier	bahawA~huA~{wara}
runniest	bahawA~huA~{wama}
runninger	lagAwAra/eka~ke~bAxa~eka~{wara}
runningest	lagAwAra/eka~ke~bAxa~eka~{wama}
running	xOda`^%%bAdA~{@ing}
running	xOda^sEra~{@ing}
runny	bahawA~huA[-]
run-off	anwima_xOda^nirNAyaka_maw
run-of-the-mill	mAmUlI/sAXAraNa
runs	xOda`^%%bAdA~{@s}
runs'	xOda`^%%bAdA{@s}{@vib:kA}
run's	xOda`^%%bAdA{@vib:kA}
runs'	xOda^sEra{ba.}{@vib:kA}
runs	xOda^sEra~{@s}
run's	xOda^sEra{@vib:kA}
runt	nAtA/kamajora{0}
runts'	nAtA/kamajora{ba.}{@vib:kA}
runts	nAtA/kamajora{@s}
runt's	nAtA/kamajora{@vib:kA}
runways'	xOda-paWa{ba.}{@vib:kA}
runways	xOda-paWa{@s}
runway's	xOda-paWa{@vib:kA}
runway	xOda-paWa{0}
run	xOda`^%%bAdA{0/en}
run	xOda^sEra{0}~{@en}
rupee	rUpayA{0}
rupee	rupayA{0}
rupees'	rUpayA{ba.}{@vib:kA}
rupees	rUpayA{@s}
rupees	rupayA{@s}
rupees'	rupayA{@s}{@vib:kA}
rupee's	rUpayA{@vib:kA}
rupee's	rupayA{@vib:kA}
ruptured	xarAra/PatanA~{@ed/@en}
ruptures'	xarAra/PatanA{ba.}{@vib:kA}
ruptures	xarAra/PatanA~{@s}
rupture's	xarAra/PatanA{@vib:kA}
rupture	xarAra/PatanA{0}
rupturing	xarAra/PatanA~{@ing}
ruraler	xehAwI~{wara}
ruralest	grAmINa~{wama}
ruralest	xehAwI~{wama}
rural	grAmINa[-]
rural	xehAwI[-]
ruse	Cala/cAla/XoKA{0}
ruses'	Cala/cAla/XoKA{ba.}{@vib:kA}
ruses	Cala/cAla/XoKA{@s}
ruse's	Cala/cAla/XoKA{@vib:kA}
rush	BIda^hadabadI/jalxI~meM[-]{0}
rushed	BIda^hadabadI/jalxI~meM~{@ed/@en}
rushed	vegapUrvaka~baDanA~{@ed/@en}
rusher	BIda^hadabadI/jalxI~meM~{wara}
rushes'	BIda^hadabadI/jalxI~meM{ba.}{@vib:kA}
rushes	BIda^hadabadI/jalxI~meM~{@s}
rushest	BIda^hadabadI/jalxI~meM~{wama}
rushest	vegapUrvaka~baDanA~{wama}
rushes	vegapUrvaka~baDanA~{@s}
rushes'	vegapUrvaka~baDanA{@s}{@vib:kA}
rushing	BIda^hadabadI/jalxI~meM~{@ing}
rushing	vegapUrvaka~baDanA~{@ing}
rush's	BIda^hadabadI/jalxI~meM{@vib:kA}
rush's	vegapUrvaka~baDanA{@vib:kA}
rush	vegapUrvaka~baDanA[-]{0}
rusk	raska{sUKI~dabala~rotI}{0}
rusks'	raska{sUKI~dabala~rotI}{ba.}{@vib:kA}
rusks	raska{sUKI~dabala~rotI}{@s}
rusk's	raska{sUKI~dabala~rotI}{@vib:kA}
russeter	lAlI~lie~huye~BUre~rafga~kA~{wara}
russetest	lAlI~lie~huye~BUre~rafga~kA~{wama}
russet	lAlI~lie~huye~BUre~rafga~kA[-]
russets'	lAlI~lie~huye~BUre~rafga~kA{ba.}{@vib:kA}
russets	lAlI~lie~huye~BUre~rafga~kA{@s}
russet's	lAlI~lie~huye~BUre~rafga~kA{@vib:kA}
russian	rUsI
russia	rUsa
rusted	jafga/jafga~laga~{@ed/@en}
ruster	jafga/jafga~laga~{wara}
rustest	jafga/jafga~laga~{wama}
rusticated	nikAla~xenA{vixyAlaya~{@ed/@en}
rusticate	nikAla~xenA{vixyAlaya{0}
rusticates	nikAla~xenA{vixyAlaya~{@s}
rusticating	nikAla~xenA{vixyAlaya~{@ing}
rustication	viniRkAsana
rusticer	gazvAra/gazvAra~{wara}
rusticest	gazvAra/gazvAra~{wama}
rustic	gazvAra/gazvAra[-]
rustics'	gazvAra/gazvAra{ba.}{@vib:kA}
rustics	gazvAra/gazvAra{@s}
rustic's	gazvAra/gazvAra{@vib:kA}
rustier	jafga~lagA~huA~{wara}
rustiest	jafga~lagA~huA~{wama}
rusting	jafga/jafga~laga~{@ing}
rust	jafga/jafga~laga[-]{0}
rustled	JadaJadAhata/JadaJadA~{@ed/@en}
rustle	JadaJadAhata/JadaJadA{0}
rustles'	JadaJadAhata/JadaJadA{ba.}{@vib:kA}
rustles	JadaJadAhata/JadaJadA~{@s}
rustle's	JadaJadAhata/JadaJadA{@vib:kA}
rustling	JadaJadAhata/JadaJadA~{@ing}
rusts'	jafga/jafga~laga{ba.}{@vib:kA}
rusts	jafga/jafga~laga~{@s}
rust's	jafga/jafga~laga{@vib:kA}
rusty	jafga~lagA~huA[-]
ruthlesser	nirxayI~{wara}
ruthlessest	nirxayI~{wama}
ruthless	nirxayI[-]
ruths'	xayA{ba.}{@vib:kA}
ruths	xayA{@s}
ruth's	xayA{@vib:kA}
ruth	xayA{0}
rut	pahie~kI~lakIra{0}
ruts'	pahie~kI~lakIra{ba.}{@vib:kA}
ruts	pahie~kI~lakIra~{@s}
rut's	pahie~kI~lakIra{@vib:kA}
rutted	pahie~kI~lakIra~{@ed/@en}
rutting	pahie~kI~lakIra~{@ing}
rye	rAI{eka~prakAra~kA~anAja}{0}
ryes'	rAI{eka~prakAra~kA~anAja}{ba.}{@vib:kA}
ryes	rAI{eka~prakAra~kA~anAja}{@s}
rye's	rAI{eka~prakAra~kA~anAja}{@vib:kA}
Sabbaths'	viSrAmaxivasa{ba.}{@vib:kA}
Sabbaths	viSrAmaxivasa{@s}
Sabbath's	viSrAmaxivasa{@vib:kA}
Sabbath	viSrAmaxivasa{0}
sabbaticaler	viSrAmaxivasa~sambanXI~{wara}
sabbaticalest	viSrAmaxivasa~sambanXI~{wama}
sabbatical	viSrAmaxivasa~sambanXI[-]
sabers'	walavAra{ba.}{@vib:kA}
sabers	walavAra{@s}
saber's	walavAra{@vib:kA}
saber	walavAra{0}
Sable	sebala{nevale~kI~jAwi~kA~eka~paSu}^sebala~kA~Para
sabotaged	sEbotAja~{@ed/@en}
sabotaged	XvaMsana/bigAdanA~{@ed/@en}
sabotage	sEbotAja{0}
sabotages	sEbotAja~{@s}
sabotages'	sEbotAja{@s}{@vib:kA}
sabotage's	sEbotAja{@vib:kA}
sabotages'	XvaMsana/bigAdanA{ba.}{@vib:kA}
sabotages	XvaMsana/bigAdanA~{@s}
sabotage's	XvaMsana/bigAdanA{@vib:kA}
sabotage	XvaMsana/bigAdanA{0}
sabotaging	sEbotAja~{@ing}
